CumulativeHumanInfected
141.0
272.0
471.0
660.0
893.0
1175.0
1525.0
1923.0
2501.0
3185.0
4055.0
5133.0
6280.0
7524.0
8948.0
10261.0
11647.0
13140.0
14618.0
16106.0
17472.0
18751.0
19991.0
21250.0
22334.0
23365.0
24342.0
25309.0
26301.0
27215.0
28168.0
29087.0
29967.0
30779.0
31523.0
32359.0
33146.0
33773.0
34289.0
34878.0
35355.0
35784.0
36129.0
36432.0
36735.0
37101.0
37380.0
37666.0
