year,week,cases,precipMM,tempC
2009,49,8,1.7,25.571428571428573
2009,50,12,4.385714285714285,23.714285714285715
2009,51,20,14.485714285714284,24.285714285714285
2009,52,26,9.957142857142856,22.857142857142858
2010,1,44,1.6714285714285717,26.0
2010,2,57,0.0571428571428571,26.428571428571427
2010,3,72,0.6142857142857142,26.428571428571427
2010,4,86,2.0571428571428574,25.142857142857142
2010,5,109,1.1428571428571428,26.571428571428573
2010,6,138,3.314285714285714,25.714285714285715
2010,7,186,1.7428571428571429,26.142857142857142
2010,8,233,7.257142857142858,24.0
2010,9,276,3.2285714285714286,25.571428571428573
2010,10,311,7.928571428571429,25.714285714285715
2010,11,362,11.528571428571428,25.428571428571427
2010,12,416,4.971428571428571,26.428571428571427
2010,13,464,11.471428571428572,24.142857142857142
2010,14,504,18.842857142857145,24.142857142857142
2010,15,539,12.342857142857143,24.714285714285715
2010,16,593,6.671428571428572,26.0
2010,17,635,16.45714285714286,23.428571428571427
2010,18,674,9.714285714285714,24.428571428571427
2010,19,740,4.571428571428571,26.714285714285715
2010,20,805,14.614285714285714,25.428571428571427
2010,21,860,13.814285714285711,23.428571428571427
2010,22,925,8.414285714285715,24.857142857142858
2010,23,980,9.514285714285714,25.142857142857142
2010,24,1031,12.657142857142857,23.857142857142858
2010,25,1085,9.514285714285714,24.857142857142858
2010,26,1133,10.914285714285716,24.428571428571427
2010,27,1188,11.6,23.0
2010,28,1228,21.914285714285715,22.857142857142858
2010,29,1284,7.399999999999999,26.428571428571427
2010,30,1348,13.742857142857144,24.714285714285715
2010,31,1417,13.671428571428567,26.285714285714285
2010,32,1474,12.842857142857143,26.857142857142858
2010,33,1511,9.642857142857142,25.285714285714285
2010,34,1559,10.242857142857144,25.0
2010,35,1614,13.457142857142856,23.714285714285715
2010,36,1649,9.614285714285714,24.285714285714285
2010,37,1678,6.914285714285716,24.428571428571427
2010,38,1704,12.542857142857144,22.857142857142858
2010,39,1725,9.514285714285714,23.571428571428573
2010,40,1751,13.828571428571427,24.142857142857142
2010,41,1767,8.328571428571427,25.0
2010,42,1784,9.028571428571428,22.428571428571427
2010,43,1793,8.142857142857142,22.857142857142858
2010,44,1805,15.514285714285716,22.571428571428573
2010,45,1819,21.942857142857147,21.571428571428573
2010,46,1827,15.728571428571428,22.285714285714285
2010,47,1831,9.214285714285714,22.714285714285715
2010,48,1836,16.02857142857143,22.0
2010,49,1839,7.471428571428571,23.142857142857142
2010,50,1841,9.985714285714286,22.0
2010,51,1842,6.757142857142857,22.571428571428573
2010,52,1845,3.82,23.4
2011,1,1854,9.114285714285714,22.0
2011,2,1860,1.457142857142857,23.0
2011,3,1870,3.2142857142857144,23.571428571428573
2011,4,1871,1.9285714285714288,23.428571428571427
2011,5,1873,1.5857142857142856,23.714285714285715
2011,6,1877,13.0,21.857142857142858
2011,7,1880,7.414285714285714,22.571428571428573
