year,week,precipMM,tempC
2009,49,1.7,25.571428571428573
2009,50,4.385714285714285,23.714285714285715
2009,51,14.485714285714284,24.285714285714285
2009,52,9.957142857142857,22.857142857142858
2010,1,1.6714285714285715,26.0
2010,2,0.05714285714285714,26.428571428571427
2010,3,0.6142857142857142,26.428571428571427
2010,4,2.0571428571428574,25.142857142857142
2010,5,1.1428571428571428,26.571428571428573
2010,6,3.314285714285714,25.714285714285715
2010,7,1.7428571428571427,26.142857142857142
2010,8,7.257142857142858,24.0
2010,9,3.2285714285714286,25.571428571428573
2010,10,7.928571428571429,25.714285714285715
2010,11,11.528571428571428,25.428571428571427
2010,12,4.971428571428571,26.428571428571427
2010,13,11.471428571428572,24.142857142857142
2010,14,18.842857142857145,24.142857142857142
2010,15,12.342857142857143,24.714285714285715
2010,16,6.671428571428572,26.0
2010,17,16.45714285714286,23.428571428571427
2010,18,9.714285714285714,24.428571428571427
2010,19,4.571428571428571,26.714285714285715
2010,20,14.614285714285714,25.428571428571427
2010,21,13.814285714285713,23.428571428571427
2010,22,8.414285714285715,24.857142857142858
2010,23,9.514285714285714,25.142857142857142
2010,24,12.657142857142857,23.857142857142858
2010,25,9.514285714285714,24.857142857142858
2010,26,10.914285714285715,24.428571428571427
2010,27,11.6,23.0
2010,28,21.914285714285715,22.857142857142858
2010,29,7.3999999999999995,26.428571428571427
2010,30,13.742857142857144,24.714285714285715
2010,31,13.671428571428569,26.285714285714285
2010,32,12.842857142857143,26.857142857142858
2010,33,9.642857142857142,25.285714285714285
2010,34,10.242857142857144,25.0
2010,35,13.457142857142857,23.714285714285715
2010,36,9.614285714285714,24.285714285714285
2010,37,6.9142857142857155,24.428571428571427
2010,38,12.542857142857143,22.857142857142858
2010,39,9.514285714285714,23.571428571428573
2010,40,13.828571428571427,24.142857142857142
2010,41,8.328571428571427,25.0
2010,42,9.028571428571428,22.428571428571427
2010,43,8.142857142857142,22.857142857142858
2010,44,15.514285714285716,22.571428571428573
2010,45,21.942857142857147,21.571428571428573
2010,46,15.728571428571428,22.285714285714285
2010,47,9.214285714285714,22.714285714285715
2010,48,16.02857142857143,22.0
2010,49,7.471428571428571,23.142857142857142
2010,50,9.985714285714286,22.0
2010,51,6.757142857142857,22.571428571428573
2010,52,3.8200000000000003,23.4
2011,1,9.114285714285714,22.0
2011,2,1.457142857142857,23.0
2011,3,3.2142857142857144,23.571428571428573
2011,4,1.9285714285714286,23.428571428571427
2011,5,1.5857142857142856,23.714285714285715
2011,6,13.0,21.857142857142858
2011,7,7.414285714285714,22.571428571428573
