date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,precipMM,humidity,tempC,week,year
2011-01-24,24,15,0.0,8.0,4,1.4,87,24,4,2011
2011-01-25,24,15,0.0,12.0,4,0.0,79,24,4,2011
2011-01-26,23,16,0.0,5.0,4,5.6,86,23,4,2011
2011-01-27,24,15,0.0,7.0,4,3.9,89,24,4,2011
2011-01-28,23,14,0.0,11.0,4,2.0,85,23,4,2011
2011-01-29,22,15,0.0,12.0,4,0.1,87,22,4,2011
2011-01-30,24,15,0.0,10.0,4,0.5,85,24,4,2011
2011-01-31,23,15,0.0,8.0,4,3.5,86,23,5,2011
2011-02-01,23,16,0.0,12.0,4,0.0,83,23,5,2011
2011-02-02,25,15,0.0,11.0,4,0.3,76,25,5,2011
2011-02-03,25,15,0.0,12.0,5,0.0,74,25,5,2011
2011-02-04,24,16,0.0,11.0,4,2.6,84,24,5,2011
2011-02-05,23,16,0.0,10.0,4,2.2,86,23,5,2011
2011-02-06,23,15,0.0,9.0,4,2.5,83,23,5,2011
2011-02-07,21,16,0.0,8.0,4,38.4,89,21,6,2011
2011-02-08,21,15,0.0,5.0,4,22.3,92,21,6,2011
2011-02-09,22,15,0.0,9.0,4,3.3,86,22,6,2011
2011-02-10,21,15,0.0,6.0,4,13.4,91,21,6,2011
2011-02-11,23,15,0.0,6.0,4,3.8,88,23,6,2011
2011-02-12,23,15,0.0,10.0,4,2.2,88,23,6,2011
2011-02-13,22,15,0.0,7.0,4,7.6,89,22,6,2011
2011-02-14,23,15,0.0,8.0,4,3.3,89,23,7,2011
2011-02-15,22,15,0.0,7.0,4,8.4,90,22,7,2011
2011-02-16,23,15,0.0,11.0,4,10.5,93,23,7,2011
2011-02-17,22,15,0.0,4.0,4,12.7,91,22,7,2011
2011-02-18,23,14,0.0,7.0,4,4.3,88,23,7,2011
2011-02-19,23,14,0.0,2.0,4,6.8,83,23,7,2011
2011-02-20,22,15,0.0,4.0,4,5.9,82,22,7,2011
