CumulativeHumanInfected
68.0
153.0
241.0
357.0
470.0
583.0
725.0
838.0
948.0
1073.0
1226.0
1385.0
1549.0
1770.0
1991.0
2304.0
2751.0
3326.0
3978.0
4664.0
5490.0
6407.0
7395.0
8554.0
9608.0
10574.0
11280.0
11969.0
12544.0
13033.0
13468.0
13843.0
14230.0
14509.0
14790.0
14994.0
15247.0
15486.0
15756.0
16032.0
16259.0
16461.0
16608.0
16741.0
16834.0
16876.0
16889.0
16889.0
